time,cu_area_h,imc10_area_h,imc1_area_h,imc2_area_h,imc3_area_h,imc4_area_h,imc5_area_h,imc6_area_h,imc7_area_h,imc8_area_h,imc9_area_h,sn_area_h
0,201167.74333913,4862.7595605196,2975.5842358443,7906.5907293508,7906.5907293508,1818.9283916884,4862.7595605196,2549.4478722079,6567.305015065,4862.7595605196,6567.3050150651,347952.22599073
9520,201025.48190289,4914.2559764121,3015.2614400574,7973.7470333461,7973.742763552,1848.2771105303,4914.2507076544,2585.2929377664,6627.962148252,4914.2611230564,6627.9621768521,347579.50467963
19020,200867.95450276,4965.1173606127,3054.9482529353,8039.2634381926,8039.2597480433,1878.4291556967,4965.1127219894,2621.4951710948,6687.4354955223,4965.1206563711,6687.4345837989,347228.42891298
28520,200726.1217313,5011.8156679515,3091.3340137071,8099.3446692488,8099.3407913488,1906.2429402387,5011.8105880239,2654.8040564691,6742.0344160821,5011.8176145108,6742.0321588148,346903.3013523
109869.32290039,199963.27867168,5287.9112432456,3307.2791377796,8452.1896584914,8452.2268477397,2074.8342911815,5288.1238428656,2854.363377273,7063.7464863699,5288.0365887866,7063.8681956969,344904.14165889
391884.41293977,197095.03541774,6272.3652700791,4091.3787883262,9704.4649778709,9705.1473125036,2687.0429498178,6275.9547286704,3574.6816831596,8203.9495846167,6273.1277723323,8205.1805681805,337911.6709467
657986.21136259,194058.7077491,7174.8963082468,4832.9253650118,10832.819220319,10833.846500804,3275.2233080309,7181.8407627301,4254.9801708714,9235.0224208817,7174.478385612,9236.3981684235,331908.86163997
933736.27252706,190588.44571583,8232.4511787546,5704.0925034494,12130.733069566,12131.223234793,3985.8288765408,8242.2059679031,5064.8173000676,10438.338870029,8218.1953192879,10428.208750359,324835.45921342
1182604.2489459,187169.3387354,9099.3582870666,6422.5237601914,13266.411676686,13271.681255288,4567.437505412,9124.3428780751,5731.3283062435,11432.564503459,9131.7878004322,11465.663782282,319317.56150947
1422539.45749,183866.99993669,9717.1270890513,6924.5926652355,14287.295497021,14306.033388982,4964.46616551,9834.9250614036,6179.7775417374,12192.943372262,9888.5888636335,12356.522575939,315480.72784253
1662474.666034,180592.62302098,10324.525013152,7418.1502529033,15227.960875203,15266.006754763,5344.5374757927,10528.246582725,6614.9114242645,12937.064081583,10576.454633906,13176.600482393,311992.91940233
1977131.6968988,176648.63015552,11072.664128708,8001.2581987427,16234.109429097,16290.032145534,5792.5781304284,11388.000071225,7132.7662275908,13854.882208716,11300.041145052,14078.544005648,308206.49415373
2254854.2427273,173037.14478342,11736.562412395,8505.8911968068,17139.841488456,17212.565612126,6167.7281245664,12160.977381981,7576.8306466247,14682.422257047,11925.919654895,14876.709567988,304977.40687369
2519415.8818414,169637.7271847,12365.801197549,8960.0363273984,17986.658060149,18073.404331872,6509.7548664605,12887.203674891,7983.6805356107,15458.814677982,12508.748236071,15629.271307805,301998.89959951
2783977.5209556,166233.43871043,12992.633442686,9415.5132430819,18849.388580537,18949.476863882,6842.0820226412,13623.437306825,8384.0202120475,16249.220104613,13090.184126291,16395.781387918,298974.82399904
3134925.1492816,161830.82771958,13814.679558036,9996.1038409269,19980.139685935,20095.502318546,7256.2205849991,14598.121175587,8890.9662689899,17293.197333189,13848.362258822,17408.090035652,294987.78921974
3463598.577763,157201.62578174,14635.806249675,10573.220810744,21108.139175607,21242.982628651,7659.4600504315,15571.603305021,9393.2838214129,18334.71692634,14597.18130767,18406.80934224,291275.17060047
3755314.2509879,153565.1097696,15317.826329758,11036.588065338,22053.503681809,22204.731295665,7978.2108971489,16387.4328699,9798.4146467392,19212.094154764,15211.720496645,19244.468961557,287989.89883108
4047029.9242129,149912.62416693,16003.56608225,11494.438472795,23004.822273859,23172.873808413,8282.7088433787,17214.249295361,10199.977614633,20098.163201259,15824.947628213,20088.895714498,284702.73289841
4333494.7153198,146395.03093303,16669.997214558,11928.45040801,23919.432452402,24136.161224833,8562.9868328042,18024.510278529,10579.507212855,20965.003401807,16431.364862561,20899.154378511,281488.4008001
4596504.8370102,143060.9954105,17293.950779793,12330.312094337,24789.232202381,25004.684750454,8814.2291258317,18789.020246088,10929.171676791,21774.226053542,16970.318285603,21677.551322154,278566.30805253
4846614.5623414,139966.91387244,17866.621909776,12690.192533941,25601.78385109,25829.174708256,9023.542516066,19507.997166867,11240.526363307,22527.311530947,17465.675440657,22398.313245751,275881.9468609
5096724.2876727,136891.47450081,18447.934409102,13037.180760813,26429.317591332,26675.047081722,9207.1942753807,20240.805271522,11544.297079522,23284.860253159,17962.894714431,23123.077327184,273155.91673502
5346834.0130039,134078.76923684,19010.965333681,13360.154219019,27222.156455239,27517.334531186,9353.5910439271,20967.862645437,11825.121831513,24032.234778926,18450.413844187,23821.127493252,270360.26858679
5596943.7383351,131070.32688125,19593.77109867,13700.583674062,28036.2244204,28362.678888458,9501.943816209,21715.996497618,12119.593901973,24797.702624448,18944.034183673,24544.964995592,267612.17901764
5847053.4636664,128111.83840257,20158.602224215,14030.518852727,28839.442495039,29188.775622764,9650.3666261339,22444.15613907,12400.124698371,25547.557707444,19420.109647412,25252.92858176,264955.5790025
6087408.9097097,125068.25530908,20732.875677288,14342.846907069,29653.261485338,30022.716705877,9809.9934545655,23165.341420077,12666.207669655,26299.552254744,19906.844941579,25958.201035895,262373.90313883
6325013.1487744,122030.11893244,21314.624452485,14655.249291606,30471.745989493,30856.444255857,9971.0595399959,23894.608940735,12927.908665135,27063.561052141,20400.396257564,26667.34991548,259746.93270707
6553113.2182765,119075.58529863,21866.368761516,14954.691192464,31250.398853266,31640.882588888,10128.955775127,24598.927800752,13166.626871524,27810.323220441,20856.568537679,27352.052260221,257298.61883949
