time,cu_area_h,imc10_area_h,imc1_area_h,imc2_area_h,imc3_area_h,imc4_area_h,imc5_area_h,imc6_area_h,imc7_area_h,imc8_area_h,imc9_area_h,sn_area_h
0,201167.74333913,4862.7595605196,2975.5842358443,7906.5907293508,7906.5907293508,1818.9283916884,4862.7595605196,2549.4478722079,6567.305015065,4862.7595605196,6567.3050150651,347952.22599073
9520,200985.59132576,4933.22807647,3029.8280862688,7998.1923543179,7998.1872954054,1859.592332659,4933.2218767982,2598.7901387867,6650.2270311322,4933.2335193096,6650.226677171,347429.68128592
19020,200784.83138822,5004.1452622988,3084.9612060874,8089.4867977856,8089.482214829,1901.794653716,5004.1394677642,2649.3235321105,6733.2001120706,5004.1487603256,6733.1986191423,346921.28798565
28520,200603.84544001,5069.8209717788,3135.9824077,8173.8830610443,8173.8782832571,1941.1349250653,5069.8148266565,2696.271412634,6810.0036423491,5069.8235798714,6810.0011606415,346445.54028899
38020,200446.95299629,5129.0269848619,3181.9692770111,8249.7987902896,8249.7944347023,1976.8872928695,5129.0241491772,2738.7662942043,6879.1873496579,5129.0340564893,6879.1890005856,346010.36937386
47520,200313.27833558,5181.5220437552,3222.7891664736,8316.9317071014,8316.9290501394,2008.8899363073,5181.5289199423,2776.6341916709,6940.4530076963,5181.5400228091,6940.465204811,345619.03841372
57020,200199.70522254,5227.7512097881,3258.8367277316,8375.8608539726,8375.8611785774,2037.3818276408,5227.7742426985,2810.1858494269,6994.3077590288,5227.7842144516,6994.3345943592,345270.21631978
225558.11215034,197840.54942341,5998.828315605,3877.3974438712,9354.8620810744,9355.1250824483,2515.8508521608,6000.1509674244,3374.9805915977,7885.4742004954,5999.3714118539,7886.0861605443,339911.32346951
461736.72578062,194514.53556667,7137.7650599247,4801.5274165307,10779.063659762,10779.508699487,3253.9773300148,7141.0676084004,4229.4727023934,9191.4879329471,7136.6798237211,9191.1288164192,331843.78538373
691298.57480788,190952.17537487,8343.6009075882,5792.6051531538,12257.29453786,12256.797900624,4065.9063657223,8346.360320273,5154.7042407851,10563.015629711,8331.5633629776,10552.790725513,323383.18548092
867913.11757533,187828.4746008,9142.5836262124,6448.7553328789,13407.510787957,13417.673633235,4590.7824343878,9197.310649616,5756.0974575839,11512.083112862,9217.9320805566,11580.056225567,317900.74005834
1078100.6175353,184267.22280125,9840.2665675828,7018.6664114251,14584.264640819,14609.882895697,5041.0680225335,9991.5304428553,6264.3173666836,12360.014745741,10095.939648583,12604.207984873,313322.61847196
1260168.1111902,181271.54605639,10439.359719784,7482.7364073677,15406.750981944,15453.697050681,5404.8489760927,10679.558401618,6679.6266846408,13099.230669681,10685.969092405,13333.192930907,310063.48302849
1466769.199615,177799.88062029,11117.169905076,8010.7762813377,16331.586313875,16401.300220399,5810.059581279,11462.882510357,7147.9591363393,13941.647565119,11333.00194556,14152.93708951,306490.79883086
1709792.4349767,173761.99119075,11901.388738531,8589.8470100413,17401.979884863,17489.344226438,6240.882393629,12382.074997927,7657.529429948,14920.01430213,12061.685441325,15095.297405621,302497.96497879
1943942.6110352,169985.37143719,12649.209795248,9126.5197161086,18423.589375863,18531.593859616,6632.1374820013,13262.809324728,8128.0945924098,15863.942353315,12747.058984776,15998.895343073,298650.77773567
2178092.7870937,166324.47892776,13382.359511456,9629.6650724749,19435.341691088,19560.900704202,6997.3002024726,14137.009851694,8571.8430935429,16799.849971398,13407.843712795,16895.208971417,294858.1982897
2404281.8571661,162728.25476402,14095.163593396,10110.370565343,20428.651738148,20567.998530647,7338.0736075255,14986.919098212,8996.5944515739,17713.502839273,14049.946291411,17770.883428773,291213.64109168
2626724.5244217,159172.52839932,14793.956409196,10574.784523048,21406.724881279,21565.164203785,7657.3758708895,15830.308789743,9402.282408805,18618.388707853,14677.789303394,18629.607900418,287671.08860227
2849167.1916772,155657.36971947,15503.953743557,11029.579855776,22380.437966632,22561.633267527,7958.842523269,16681.321509006,9798.5941014247,19518.810889442,15310.979602112,19478.63195148,284119.84487031
3051185.1732254,152326.19301543,16157.793115551,11443.040670369,23291.54446878,23489.265311024,8228.2118281006,17475.115513213,10161.467198051,20367.18568727,15886.630116794,20285.523400237,280888.02967518
3241901.9550636,149133.0252307,16780.000512928,11816.529686775,24149.845457714,24382.007680301,8476.433981685,18236.813682485,10499.197196657,21180.447792724,16425.837997034,21052.66839853,277867.19238246
3432618.7369018,145963.7396051,17379.911196512,12191.041739984,24988.635399456,25245.255236605,8699.7007173306,18987.975107905,10823.083875251,21974.706107858,16962.925140248,21781.490315264,275001.53555849
3623335.51874,142800.75123299,17981.553326246,12553.2789802,25843.201259735,26130.356219806,8899.4044327227,19749.208121174,11134.857842685,22772.866125278,17482.391144224,22527.464992758,272124.66632218
3805660.7621774,140081.5122107,18523.062411059,12865.556336959,26647.276251637,26966.422470013,9059.3559896915,20472.982859607,11413.553176406,23535.354750925,17943.678028789,23245.205189733,269246.04032448
3977782.6577864,137676.97258667,19044.298477475,13165.29880838,27388.945552489,27725.980271438,9190.4050923885,21145.271414656,11662.732260967,24243.838838719,18378.98134801,23902.643114329,266474.63223448
4149904.5533954,134916.56810427,19595.39019955,13471.793656265,28144.731791255,28516.316143595,9339.7041306765,21838.002621351,11922.238792818,24970.744832247,18844.032553498,24568.799627639,263871.67754684
4322026.4490044,131957.6047791,20158.923708085,13769.54681982,28950.915227904,29342.728950955,9482.5794594945,22547.11681551,12182.823166803,25711.460612233,19304.369256673,25263.711746868,261328.21945655
4494148.3446134,129008.86859402,20722.281946041,14074.359603252,29778.499302671,30174.066892131,9652.2193083637,23261.410853089,12437.367451435,26487.115984223,19778.002101686,25991.708322972,258634.09964011
4665753.8745356,126556.72268917,21248.30827813,14327.177279586,30519.507008111,30950.148084135,9798.1373602794,23940.396839313,12646.352685036,27217.292176184,20202.239672909,26658.48133309,255935.23659405
4829269.6753641,124240.08208378,21744.844702744,14566.553728675,31210.815517487,31630.942221266,9931.3740903982,24560.200548384,12834.75860687,27881.517836741,20575.950663615,27266.318274658,253556.64172539
4992785.4761926,121467.11742834,22275.037182614,14826.933624051,31988.087113101,32412.279176679,10095.718393462,25233.095108943,13019.024329587,28639.982119775,21018.002812884,27929.038246566,251095.684464
5156301.2770212,118641.44798053,22863.31498033,15052.446574944,32804.149064728,33202.388398561,10259.228900316,25936.031389878,13205.885806483,29412.822434382,21481.194970398,28631.340689974,248509.74880948
5319817.0778497,116124.37765398,23388.824048355,15267.675233742,33557.730013065,33903.621212308,10411.810703781,26601.936549352,13366.073496385,30131.559092892,21882.276906914,29272.581539095,246091.53355013
5483332.8786782,114019.79007804,23864.963199083,15434.598814997,34263.401460445,34587.38994206,10533.795712626,27207.639451681,13476.759290219,30815.777086165,22227.148189266,29863.839764535,243704.89701088
5629068.7889037,111362.65607105,24398.439924834,15635.213056659,35025.574884513,35298.80745901,10693.291410602,27863.023999438,13630.079504557,31538.139511436,22660.096248543,30495.750043333,241398.92788602
5769263.148639,108993.69083826,24875.286651681,15802.622644493,35690.598136606,35942.947958931,10829.676091479,28447.204350733,13759.587581601,32172.411859029,23030.571866962,31049.456001247,239405.94601898
5909457.5083744,107322.33594124,25287.469813854,15875.099163352,36348.091266068,36519.644864536,10927.829539268,28974.865216474,13828.311468961,32763.507267111,23317.671172785,31560.00618026,237275.1681061
6045165.6485982,104759.55477209,25802.70533458,16052.441423929,37048.484478196,37169.460387488,11079.798701949,29578.145176897,13988.169654523,33433.191938354,23711.793231991,32160.853280316,235215.40161969
6178350.2903468,102903.41104783,26191.094694306,16169.166560836,37663.086732598,37740.099686479,11190.898189777,30081.531533879,14101.588223039,33980.348051545,23994.943329373,32650.385580664,233333.44636968
6309270.7931857,100854.07025072,26648.681810812,16312.896570179,38300.542046988,38310.12423452,11311.870438456,30615.444690661,14232.731840922,34589.081551371,24335.224177864,33203.22249954,231286.10988797
6434404.4233407,98647.316824685,27048.943264247,16469.714136293,38915.984365137,38926.203716939,11437.796812219,31106.212806831,14375.57230789,35154.823671798,24634.709519623,33717.571474261,229565.15110008
6554603.5625188,97167.883066862,27428.722515986,16573.972149777,39440.553519999,39405.420480932,11525.769230976,31555.880762091,14470.45424292,35661.379958717,24929.305663705,34159.922349473,227680.73605856
6674802.7016969,94831.656570636,27831.836633299,16751.944005357,40054.855522393,40000.143856702,11662.737700067,32051.443557067,14629.091647076,36236.346609165,25253.195329311,34663.240137334,226033.50843159
6795001.840875,93576.505944261,28162.130156142,16838.136155445,40558.72195083,40457.058810151,11734.705153817,32481.899336544,14707.773676218,36724.498195761,25499.510505888,35103.435240693,224155.62487425
6915200.9800532,91174.504498451,28572.936327144,17027.985415666,41171.440105794,41040.895537346,11879.389293995,32986.135554798,14884.217062391,37290.105051947,25807.448070487,35631.321794112,222533.62128787
7035400.1192313,89777.390739373,28913.127708946,17128.716842009,41693.113502354,41520.13140542,11961.320141032,33432.553030343,14974.797928377,37795.295862939,26063.421171616,36090.350758886,220649.7809087
7155599.2584094,87503.417072464,29310.382087145,17311.283512881,42288.456300344,42083.549220678,12099.792643417,33916.075526958,15135.341488062,38359.371229011,26354.989160652,36608.390687156,219028.95107123
7270906.6975438,86151.154542311,29631.655369366,17408.309063773,42789.800649166,42564.347357729,12175.16838197,34324.019285275,15221.764026063,38841.992635925,26598.643638327,37052.633233596,217240.5118165
7329570.537954,84707.926048823,29855.527574587,17527.486742485,43138.322154306,42899.472926625,12260.584455339,34590.660433219,15324.654462572,39158.767597044,26771.392094814,37348.560782594,216416.64472759
